,ACDC,,,FCA
index,MOJOFM,A2A,MOJOFM,A2A
release1--release3,56.36,67.78711485,65,74.14529915
release2--release4,100,2.707930368,100,22.15477997
release3--release5,100,3.663003663,100,24.29378531
release4--release6,94.48,98.03030303,93.26,99.54751131
release5--release7,100,99.39759036,93.3,99.5505618
release6--release8,55,73.02955665,65.97,79.31985294
release7--release9,54.61,70.96385542,46.28,75.14944492
release8--release10,100,5.426356589,100,23.05246423
release9--release11,100,5.333333333,100,26.54735272
release10--release12,93.83,96.19131975,75.29,90.49586777
release11--release13,85.19,93.83802817,75.29,89.90147783
release12--release14,87.94,96.2962963,97.23,99.24874791
release13--release15,87.11,91.95775792,88.98,88.32448825
release14--release16,77.13,89.77272727,88.98,88.32448825
release15--release17,95.1,98.61111111,95.48,99.86072423
release16--release18,94.76,98.14957594,95.48,99.86072423
release17--release19,88.15,88.81069669,78.9,86.41900122
release18--release20,79.09,86.48459384,81.52,86.59846547
release19--release21,88.05,91.18004866,77.84,87.276551
release20--release22,90.7,90.73520622,47.95,83.54316547
release21--release23,86.05,90.79019074,62.7,83.77213978
release22--release24,76.77,87.98530955,72.99,83.87953942
release23--release25,82.44,91.61676647,73.21,87.96296296
release24--release26,84.62,93.34609861,67.3,84.53648915
release25--release27,85.3,90.24505184,72.64,83.150022
release26--release28,80.94,90.26303646,70.3,85.53386912
release27--release29,87.7,94.74637681,83.3,85.28119508
release28--release30,80.3,80.93480935,78.52,75.79961464
release29--release31,83.26,82.99676898,75.66,75.42281396
release30--release32,93.78,92.55555556,80.63,85.26100307
release31--release33,92.99,96.64701548,72.23,91.2901308
release32--release34,88.47,95.63462949,74.87,91.89258312
release33--release35,93.48,97.99562682,76.44,91.06849315
release34--release36,90.79,96.86033923,71.07,94.45244957
release35--release37,89.73,95.01061571,80.87,88.33518931
