CommitID,NMF, TotalAddLines , TotalDeleteLines ,LC,LC_1, FileAdd , FileDelete ,NAD, NUC, AGE, NMS, NMD, Entropy ,MLMF,NDVE,EXP,REXP,CommitComplexity,LastCommitComplexity,CFC,CommitTokenCount,LastCommitTokenCount,NCC,CommitMethodNum,LastCommitMethodNum,NFC,NIR,a2a,Tag
101e30305eecdd97a21dff14a6a9de5cda6d617e,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,14,14,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
60d75c554ccbc72b8a60c5759f0175ae07e8254a,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,62,6,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
e0966a1ec55a6ca45baf5d3f53ad6b0e7a049452,2,12,6,6,18,0,0,0,64,1389,1,2,0.99107606,1134,2,14,1,303,298,5,7227,7173,54,90,90,0,1,100.0,NoArch
7472d98289bcb9776339ad253285a6f6dfa939cf,3,14,0,14,14,0,0,0,19,268,1,3,0.734529921,887,4,66,8,84,84,0,3931,3866,65,61,61,0,1,100.0,NoArch
ade55151d2afbf18dabeea8f36844051b95febf9,318,3037,3037,0,6074,0,0,0,88,3243,2,60,7.256039695,73665,2,5,5,9832,9832,0,381164,381164,0,4997,4997,0,1,100.0,NoArch
224f75f64982fa65c56039e4c413b5d9c138800b,1,8,8,0,16,0,0,0,3,1352,1,1,0.0,145,3,1,1,26,26,0,694,689,5,17,17,0,1,100.0,NoArch
563e79d0f2d64b64d5407f1c3b8b579b91f6446d,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,25,11,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
b2f4790ab20537907d9bc29050e9eb31f711f671,1,15,14,1,29,0,0,0,85,6,1,1,0.0,1219,17,38,0,253,253,0,5655,5643,12,84,84,0,0,100.0,NoArch
57c9811a1695761d3e0f224b7e89e8174d927e43,4,56,19,37,75,0,0,0,23,1382,1,1,1.25704865,1267,4,300,4,226,216,10,6169,5982,187,77,67,10,1,100.0,NoArch
fa46c9794767d512522824948f3c792dd634b828,2,40,2,38,42,0,0,0,2,0,1,2,0.453716339,431,1,54,4,32,17,15,2598,631,1967,20,8,12,1,100.0,NoArch
3a8c8c9e7033fa1260046f63ac39411a6cd66ffe,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,142,5,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
c42c40f728c338b4c144c5cbd431e0513dabf7fe,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,72,4,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
af766fa76c2d7ee35b60c2256230a158b11bca53,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,159,3,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
027d196fd3f6f990977a4e86c1c07464506cabc3,2,75,2,73,77,0,0,0,4,82,1,2,0.964547659,396,4,0,0,42,20,22,2657,595,2062,40,20,20,1,99.92125984,NoArch
2e5acf3e5fd1e6c0f193bea0c2234c09a848f17a,5,662,7,655,669,1,0,1,73,816,1,3,1.065416408,2205,1,0,0,659,569,90,18291,14290,4001,215,163,52,1,99.03258656,NoArch
64664a630cb0674f145a1b8f4ef132b83bde9523,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,71,2,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
d2ff5e6ed926233fd0626537e333e87744e181a4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,43,11,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
24673177ca18128f1c5dd137e5968ae4e8359e7f,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,58,2,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
8565f52b5594659e5c3f7b4b1a50ff7baaeafbbb,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,335,28,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
724d85bcaa8a71f63d2bf99dcecb6722e23c1f9d,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,44,4,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
c3a488cb1808f0de86f4f0ab27acbc26095c6f09,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,58,23,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
a3957200a86a4582c6622738caacd153f0ad7882,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
ba848e21ab275d81b7f33bbcf124efe7f67822bc,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,58,8,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
34174efd237c8aabdcf8b546d9b1b2bd1e16b01e,5,292,17,275,309,1,0,1,61,48,1,5,1.392842022,1909,1,471,2,413,396,17,12244,10702,1542,164,154,10,1,99.92821249,NoArch
8570a93e1f6ebc14bc3c78692256122b9ba2c1ea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,55,19,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
7be037b56f722005ea568b5b19766538434bc1c0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,409,5,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
782a9505e82028be7a087ac269e0a30c32ee3258,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
a2e37ae187c8edd29f2a7db69f4bac4229b42cf9,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,9,2,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
9101a42badd32f0540caa28e27ca053a36e936e3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
1167caf735140964f5dcba441b76d99e7c9ceed1,2,26,2,24,28,0,0,0,11,0,1,2,0.591672779,585,2,20,10,102,102,0,3081,2929,152,15,15,0,1,100.0,NoArch
ae3b78f7df9acf255c1534599c697106cf0c5e6d,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,46,5,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
2bb7eb3a42b98f846936b4d9bc1e4345f6de6e5b,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
3eb8a8c93c9388d1bd79b2297118a1d381bde51d,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
094c95b0a7ce084a1dd97776bc67d0f84786af08,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,310,8,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
a02495613d514e984ff486f334890099b1c922e7,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,31,8,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
dcc63f9cc15339a4b7f0b7835e77d8474d6b2f71,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,22,13,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
aa3e9607963bb35f9067d3539b8881fe154c14cb,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,4,4,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
ef98bc694cf05c0121f7433b95f1dfa369c1d17d,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,32,0,0,0,0,0,0,0,0,0,0,3,100.0,NoArch
4cd90d08a97d3d9dbc74113efd6df142aa749a3d,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,7,7,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
86fa1ce37647ccc27cf85365ace50aa593073394,3,19,24,5,43,0,0,0,8,557,1,2,1.21132135,394,2,40,1,34,33,1,2091,2091,0,12,12,0,1,100.0,NoArch
5c7076df6a213fb62838a246fa061a34d24858fa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,28,0,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
e65411f5cce2d58588fbb96a366560f6e6803dab,4,14,14,0,28,0,0,0,35,864,1,4,1.724407818,1476,10,26,6,201,201,0,8682,8723,41,108,108,0,1,100.0,NoArch
e970ad393094f498242631a92b7cd7dc9c17cd06,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,23,13,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
7fcd5eb3382f13e4100a424dce43079ed9c7e07e,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
3ee93cf65787d59a7bd718af39cf16b85af25022,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,165,2,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
da1b0c2849fbbbece47a547d6011343bd4e3dc4b,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,127,2,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
