BeforeFilesDeps,AfterFilesDeps,ChangedFileDeps,BeforeCommitDeps,AfterCommitDeps,ChangedDeps,JavaFileNum,TotalChangedLines,FileAddNum,FileDeleteNum,FileChangedNum,CommitComplexity,LastCommitComplexity,changedComplexity,CommitTokenCount,LastCommitTokenCount,changedToken,CommitMethodNum,LastCommitMethodNum,ChangedMethodNum,A2A,Tag
0,0,0,320,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArchChanged
0,0,0,320,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArchChanged
0,0,0,320,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArchChanged
33,44,11,1276,1308,32,4,51,0,0,0,106,95,11,3294,2991,303,30,26,4,93.77682403,ArchChanged
0,0,0,328,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArchChanged
18,18,0,327,327,0,1,0,0,0,0,129,129,0,2864,2863,1,30,30,0,100,NoArchChanged
160,257,97,7848,8856,1008,24,378,10,4,14,793,733,60,23546,23257,289,310,278,32,93.46642468,ArchChanged
803,787,16,22509,21960,549,61,66,0,0,0,1517,1517,0,44391,44397,6,660,660,0,92.90187891,ArchChanged
0,0,0,361,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArchChanged
98,103,5,5400,5445,45,15,24,1,3,4,334,336,2,15831,15966,135,132,135,3,97.59358289,ArchChanged
0,0,0,364,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArchChanged
148,208,60,4356,4764,408,12,641,6,0,6,138,82,56,7688,5144,2544,85,47,38,96.40102828,ArchChanged
0,0,0,398,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArchChanged
56,56,0,3176,3176,0,8,9,0,0,0,45,45,0,1651,1651,0,35,35,0,100,NoArchChanged
4,4,0,397,397,0,1,11,0,0,0,72,66,6,1882,1820,62,16,15,1,100,NoArchChanged
109,109,0,2382,2382,0,6,23,0,0,0,435,438,3,11982,11818,164,194,199,5,100,NoArchChanged
34,49,15,2382,2448,66,6,229,3,0,3,111,90,21,3720,2604,1116,66,49,17,93.99538106,ArchChanged
6,12,6,816,826,10,2,168,1,0,1,92,88,4,3682,2734,948,37,33,4,98.72881356,NoArchChanged
83,90,7,1239,1260,21,3,85,1,0,1,57,51,6,1808,1427,381,32,30,2,99.59016393,NoArchChanged
0,0,0,421,421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArchChanged
0,0,0,421,421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArchChanged
4,4,0,420,420,0,1,7,0,0,0,75,72,3,1964,1882,82,16,16,0,100,NoArchChanged
3,3,0,840,840,0,2,28,0,0,0,12,12,0,238,238,0,10,10,0,100,NoArchChanged
89,89,0,3360,3360,0,8,163,0,0,0,167,146,21,6056,5124,932,71,54,17,100,NoArchChanged
76,76,0,840,840,0,2,3,0,0,0,267,265,2,6445,6416,29,131,131,0,100,NoArchChanged
0,0,0,421,421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArchChanged
0,12,12,840,862,22,2,350,2,0,2,74,0,74,2409,0,2409,23,0,23,96.7462039,ArchChanged
234,269,35,9913,10327,414,23,243,2,0,2,725,685,40,21578,20064,1514,254,232,22,98.39449541,NoArchChanged
0,0,0,450,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArchChanged
106,109,3,2245,2260,15,5,43,0,0,0,434,430,4,10975,10655,320,178,171,7,100,NoArchChanged
0,0,0,453,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArchChanged
7,7,0,904,904,0,2,34,0,0,0,12,12,0,708,708,0,9,9,0,100,NoArchChanged
0,0,0,453,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArchChanged
0,0,0,453,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArchChanged
0,0,0,453,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArchChanged
0,0,0,453,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArchChanged
0,0,0,453,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArchChanged
1117,787,330,43844,30943,12901,97,2508,7,26,33,1873,2176,303,62115,73068,10953,793,952,159,79.76470588,ArchChanged
0,0,0,453,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArchChanged
0,0,0,453,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArchChanged
0,0,0,453,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArchChanged
171,201,30,5424,5604,180,12,221,4,0,4,142,128,14,6692,5884,808,81,70,11,94.9339207,ArchChanged
19,19,0,467,467,0,1,12,0,0,0,150,146,4,3067,2984,83,40,39,1,100,NoArchChanged
0,0,0,468,468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArchChanged
20,20,0,467,467,0,1,3,0,0,0,130,129,1,2892,2873,19,31,30,1,100,NoArchChanged
56,56,0,2335,2335,0,5,20,0,0,0,147,144,3,5573,5488,85,95,94,1,100,NoArchChanged
0,0,0,468,468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArchChanged
389,421,32,11675,12125,450,25,222,2,0,2,731,683,48,24858,23713,1145,338,318,20,94.9044586,ArchChanged
18,18,0,970,970,0,2,7,0,0,0,106,104,2,3075,3028,47,32,30,2,100,NoArchChanged
0,0,0,486,486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArchChanged
9,9,0,485,485,0,1,58,0,0,0,17,9,8,1309,1019,290,12,6,6,100,NoArchChanged
0,0,0,486,486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArchChanged
0,14,14,1455,1488,33,3,233,3,0,3,23,0,23,1143,0,1143,14,0,14,98.54469854,NoArchChanged
15,12,3,1488,1476,12,3,29,1,1,2,25,28,3,1254,1443,189,17,15,2,96.57794677,ArchChanged
0,0,0,493,493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArchChanged
0,0,0,493,493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArchChanged
18,20,2,1476,1479,3,3,39,1,0,1,62,59,3,2451,2305,146,34,34,0,77.59433962,ArchChanged
0,0,0,494,494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArchChanged
0,0,0,494,494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArchChanged
6,6,0,493,493,0,1,1,0,0,0,89,89,0,1993,1986,7,17,17,0,100,NoArchChanged
10,14,4,1479,1488,9,3,41,1,0,1,24,22,2,1051,976,75,15,13,2,76.04938272,ArchChanged
40,40,0,1488,1488,0,3,3,0,0,0,154,154,0,3147,3147,0,44,44,0,100,NoArchChanged
0,0,0,497,497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArchChanged
0,0,0,497,497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArchChanged
0,0,0,497,497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArchChanged
673,841,168,25792,43108,17316,52,831,1,12,13,1245,1350,105,40639,44298,3659,568,628,60,91.09730849,ArchChanged
0,0,0,767,767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArchChanged
0,0,0,767,767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArchChanged
0,85,85,9958,10777,819,13,1089,13,0,13,104,0,104,5198,0,5198,64,0,64,95.67147614,ArchChanged
0,0,0,830,830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArchChanged
0,0,0,830,830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArchChanged
0,0,0,830,830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArchChanged
0,0,0,830,830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArchChanged
0,0,0,830,830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArchChanged
0,0,0,830,830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArchChanged
0,0,0,830,830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArchChanged
0,0,0,830,830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArchChanged
0,0,0,830,830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArchChanged
0,0,0,830,830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArchChanged
0,0,0,830,830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArchChanged
0,0,0,830,830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArchChanged
0,0,0,830,830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArchChanged
0,0,0,830,830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArchChanged
0,0,0,830,830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArchChanged
0,0,0,830,830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArchChanged
0,0,0,830,830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArchChanged
0,0,0,830,830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArchChanged
0,0,0,830,830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArchChanged
0,0,0,830,830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArchChanged
56,56,0,2487,2487,0,3,32,0,0,0,116,115,1,3686,3602,84,46,45,1,100,NoArchChanged
14,14,0,1658,1658,0,2,16,0,0,0,18,18,0,1047,985,62,10,10,0,100,NoArchChanged
23,23,0,829,829,0,1,3,0,0,0,48,48,0,1818,1839,21,29,29,0,100,NoArchChanged
0,0,0,830,830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArchChanged
0,0,0,830,830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArchChanged
0,0,0,830,830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArchChanged
0,0,0,830,830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArchChanged
0,0,0,830,830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArchChanged
0,0,0,830,830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArchChanged
0,0,0,830,830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArchChanged
0,0,0,830,830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArchChanged
164,75,89,14093,13022,1071,17,1134,0,13,13,163,268,105,5441,10764,5323,74,139,65,95.67147614,ArchChanged
113,207,94,15320,16600,1280,20,1165,13,0,13,448,338,110,14747,9231,5516,196,129,67,95.33851276,ArchChanged
31,31,0,1660,1660,0,2,15,0,0,0,179,177,2,6665,6583,82,72,71,1,100,NoArchChanged
337,344,7,16600,16660,60,20,204,0,0,0,404,343,61,15295,14254,1041,186,164,22,100,NoArchChanged
0,0,0,834,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArchChanged
582,481,101,34986,32172,2814,42,1384,0,13,13,858,1031,173,30068,36707,6639,364,454,90,95.33851276,ArchChanged
0,0,0,767,767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArchChanged
481,582,101,32172,34986,2814,42,1384,13,0,13,1031,858,173,36707,30068,6639,454,364,90,95.33851276,ArchChanged
0,0,0,834,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArchChanged
0,0,0,834,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArchChanged
0,0,0,834,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArchChanged
0,0,0,834,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArchChanged
0,0,0,834,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArchChanged
582,481,101,34986,32172,2814,42,1384,0,13,13,858,1031,173,30068,36707,6639,364,454,90,95.33851276,ArchChanged
481,582,101,32172,34986,2814,42,1384,13,0,13,1031,858,173,36707,30068,6639,454,364,90,95.33851276,ArchChanged
0,0,0,834,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArchChanged
0,0,0,834,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArchChanged
0,0,0,834,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArchChanged
582,481,101,34986,32172,2814,42,1384,0,13,13,858,1031,173,30068,36707,6639,364,454,90,95.33851276,ArchChanged
0,0,0,767,767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArchChanged
0,0,0,767,767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArchChanged
0,0,0,767,767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArchChanged
0,0,0,767,767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArchChanged
0,0,0,767,767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArchChanged
0,0,0,767,767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArchChanged
54,54,0,2298,2298,0,3,32,0,0,0,116,115,1,3686,3602,84,46,45,1,100,NoArchChanged
427,526,99,29874,32487,2613,39,1352,13,0,13,915,743,172,33021,26466,6555,408,319,89,95.33851276,ArchChanged
503,406,97,31654,29108,2546,38,1355,0,13,13,695,867,172,24627,31203,6576,290,379,89,95.33851276,ArchChanged
